BusinessDate,Weekday,Hotel Name,Currency,Inncode,FacilityID,Revenue,Sold,Available,Occ,ADR,RevPAR,F&B Revenue,TotalRevenue
1/9/2021,Saturday,Comfort Inn Orlando,USD,ORLFL,60421.0,"7,109.00",73,76,96.05,97.38,93.54,0,"7,146.95"
1/9/2021,Saturday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"2,603.55",33,71,46.48,78.9,36.67,0,"2,603.55"
1/10/2021,Sunday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"1,440.01",18,99,18.18,80.0,14.55,0,"1,446.01"
1/10/2021,Sunday,Hampton Inn Bowie,USD,DENMD,15671.0,"1,529.94",21,103,20.39,72.85,14.85,54,"1,583.94"
1/10/2021,Sunday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"1,408.30",19,108,17.59,74.12,13.04,0,"1,429.30"
1/10/2021,Sunday,Comfort Inn Orlando,USD,ORLFL,60421.0,"2,342.22",29,76,38.16,80.77,30.82,0,"2,373.36"
1/10/2021,Sunday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"1,710.88",19,71,26.76,90.05,24.1,0,"1,710.88"
1/11/2021,Monday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"2,957.26",37,99,37.37,79.93,29.87,0,"3,215.26"
1/11/2021,Monday,Hampton Inn Bowie,USD,DENMD,15671.0,"3,865.17",44,103,42.72,87.84,37.53,45.5,"3,910.67"
1/11/2021,Monday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"2,634.50",34,108,31.48,77.49,24.39,0,"2,639.20"
1/11/2021,Monday,Comfort Inn Orlando,USD,ORLFL,60421.0,"3,910.90",42,76,55.26,93.12,51.46,0,"3,940.06"
1/11/2021,Monday,Hampton Inn Aberdeen,USD,ABEMD,87722.0,"3,392.89",43,71,60.56,78.9,47.79,0,"3,397.84"
1/12/2021,Tuesday,Holiday Inn Express Warrenton,USD,WARVA,19713.0,"3,584.42",45,99,45.45,79.65,36.21,0,"3,598.42"
1/12/2021,Tuesday,Hampton Inn Bowie,USD,DENMD,15671.0,"4,439.43",52,103,50.49,85.37,43.1,56,"4,500.38"
1/12/2021,Tuesday,Holiday Inn Express Charleston,USD,CHRWV,9550.0,"3,298.83",46,108,42.59,71.71,30.54,80,"3,418.83"
